"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","condition_confidence_scenario","criticality_overall_score","criticality_overall_score_label","criticality_operational_score","criticality_pipe_type_score","criticality_people_impacts_score","criticality_people_impacts_dataset_s_","criticality_environmental_impacts_score","criticality_environmental_impacts_dataset_s_","criticality_infiltration_score","criticality_impact_of_failure_score","criticality_flow_ratio","criticality_confidence_scenario","Risk-score"
"VC",1910,450,121.16,3.07,"3","3","2018","te puna wai","yes",1,1,4,"CCTV Available (0-10 Years Old) & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",9
"PE",2013,560,120.42,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"CONC",2013,550,116.16,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"PE",2020,400,111.19,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"VC",1910,450,110.93,1,"1","1","2013","te puna wai","yes",1,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"CONC",1965,490,106.22,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"CONC",2013,550,66.13,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"VC",1910,450,55.14,3.08,"3","3","2013","te puna wai","yes",1,1,4,"CCTV Available (10-20 Years Old) & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",9
"PE",2020,400,54.07,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"PE",2020,400,52.56,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"VC",1910,450,44.11,3.08,"3","3","2013","te puna wai","yes",1,1,4,"CCTV Available (10-20 Years Old) & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",9
"PE",2021,500,44.11,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"CONC",2013,550,28.41,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"PE",2021,450,9.97,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"PE",2021,450,4.5,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"CONC",2018,525,2.12,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3585,2,2,2,1,NA,1,NA,1,0.565,0.4,"Diameter Used For Flow Approximation & Depth Available",2
"CONC",1961,450,18.5,2.67,"3","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.35679727942809,2,3,2,1,NA,1,NA,5,0.705,0.0413394376755454,"Modelled Flow Data Used & Depth Available",9
"PE",2011,900,46.86,1.34,"1","1","2015","te puna wai","no",3,3,1,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.35496937212864,2,2,4,1,NA,1,NA,1.5,0.71,0.0918836140888208,"Modelled Flow Data Used & Depth Available",2
"CONC",1989,900,35.67,2,"2","2","2015","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.35191125324548,2,3,4,1,NA,1,NA,1,0.69,0.055070990325497,"Modelled Flow Data Used & Depth Available",5
"CONC",1989,900,184.57,2,"2","2","2015","te puna wai","no",5,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.35175489114173,2,3,4,1,NA,1,NA,1,0.69,0.0549422972359942,"Modelled Flow Data Used & Depth Available",5
"CONC",1961,635,21.35,3.17,"3","None","None","None","no",5,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.34810681470138,2,3,3,1,NA,1,NA,1.5,0.645,0.101837672281776,"Modelled Flow Data Used & Depth Available",9
"CONC",1912,910,43.47,3.91,"4","3","2016","te puna wai","no",5,1,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.34536749920371,2,3,4,1,NA,1,"Significant Ecological Area - SEA_T_5288",1,0.69,0.0496851845298037,"Modelled Flow Data Used & Depth Available",15
"CONC",1912,910,64.59,3.49,"3","2","2016","te puna wai","no",5,1,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.34535186299334,2,3,4,1,NA,1,"Significant Ecological Area - SEA_T_5288",1,0.69,0.0496723152208534,"Modelled Flow Data Used & Depth Available",9
"CONC",1912,910,66.86,4.13,"4","3","2009","te puna wai","no",5,1,5,"CCTV Available (10-20 Years Old) & Soil Type Available",2.34534795394074,2,3,4,1,NA,1,"Significant Ecological Area - SEA_T_5288",1,0.69,0.0496690978936159,"Modelled Flow Data Used & Depth Available",15
"CONC",1912,910,50.11,3.49,"3","2","2016","te puna wai","no",5,1,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.34534795394074,2,3,4,1,NA,1,"Significant Ecological Area - SEA_T_5288",1,0.69,0.0496690978936159,"Modelled Flow Data Used & Depth Available",9
"PE",2012,800,51.06,1.34,"1","1","2015","te puna wai","no",3,3,1,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.34331163859112,2,2,4,1,NA,1,NA,1.5,0.71,0.0650842266462481,"Modelled Flow Data Used & Depth Available",2
"CONC",1967,800,2.34,2,"2","2","2017","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.33465160796325,2,2,4,1,NA,1,NA,1.5,0.71,0.0451761102603369,"Modelled Flow Data Used & Depth Available",5
"CONC",1960,490,137.23,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.33257274119449,2,2,2,1,"Safe Swim Beach",1,"Ocean Intercept, Significant Ecological Area - SEA-M2-60a",5,0.705,0.0566615620214395,"Modelled Flow Data Used & Depth Available",5
"CONC",2012,1000,14.04,1.59,"2","None","None","CCTV app","yes",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.33133819900456,2,2,4,1,NA,1,NA,1.5,0.71,0.0375590781713999,"Modelled Flow Data Used & Depth Available",5
"CLS",1961,315,11.1,3.82,"4","None","None","None","no",1,1,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.324,2,1,5,1,NA,1,NA,1.5,0.77,0.2,"Diameter Used For Flow Approximation & Depth Available",15
"CONC",1962,300,10.01,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.324,2,1,5,1,NA,1,"Significant Ecological Area - SEA_T_8158",1.5,0.77,0.2,"Diameter Used For Flow Approximation & Depth Available",5
"CLS",1962,315,5.2,3.82,"4","None","None","None","no",1,1,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.324,2,1,5,1,NA,1,NA,1.5,0.77,0.2,"Diameter Used For Flow Approximation & Depth Available",15
"CONC",1966,450,171.11,3,"3","3","2001","te puna wai","no",1,1,2,"CCTV Available (20-30 Years Old) & Soil Type Available",2.32300658426019,2,2,2,1,NA,1,NA,5,0.705,0.0350431282716196,"Modelled Flow Data Used & Depth Available",9
"CONC",1965,450,89.32,2,"2","2","2011","te puna wai","no",1,3,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.32234173162987,2,2,2,1,NA,1,"Significant Ecological Area - SEA_T_4980",5,0.705,0.0335406364516741,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,104.04,2.67,"3","2","2021","CCTV Footage Review Log South_Latest.xls","yes",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31997986757481,2,2,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0282030905645444,"Modelled Flow Data Used & Depth Available",9
"CONC",1962,525,92.32,2.24,"2","2","2021","CCTV Footage Review Log South_Latest.xls","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31997844390751,2,2,2,1,NA,1,"Aquifer - Onehunga Volcanic Aquifer",5,0.705,0.0281998732373068,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,91.83,2.24,"2","2","2021","CCTV Footage Review Log South_Latest.xls","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31997844390751,2,2,2,1,NA,1,"Aquifer - Onehunga Volcanic Aquifer",5,0.705,0.0281998732373068,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,98.11,2.24,"2","2","2021","CCTV Footage Review Log South_Latest.xls","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31989729487126,2,2,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0280164855847653,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,70.34,2.24,"2","2","2021","CCTV Footage Review Log South_Latest.xls","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31989729487126,2,2,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0280164855847653,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,43.93,2.24,"2","2","2016","te puna wai","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31946450001126,2,2,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0270384181045438,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,19.19,2.24,"2","2","2016","te puna wai","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31946450001126,2,2,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0270384181045438,"Modelled Flow Data Used & Depth Available",5
"CONC",1978,470,113.47,2,"2","2","2014","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.3181817757716,2,2,2,1,NA,1,NA,5,0.705,0.0241396062634927,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,103.17,3,"3","3","2004","te puna wai","no",1,3,3,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31697023489706,2,2,2,1,NA,1,NA,5,0.705,0.02140166078432,"Modelled Flow Data Used & Depth Available",9
"CONC",2009,550,66.78,3,"3","3","2010","te puna wai","no",5,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31686915451857,2,2,2,1,NA,1,NA,5,0.705,0.0211732305504525,"Modelled Flow Data Used & Depth Available",9
"CONC",2009,550,80.45,1.54,"2","1","2010","te puna wai","no",5,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31679370015154,2,2,2,1,NA,1,NA,5,0.705,0.0210027122068613,"Modelled Flow Data Used & Depth Available",5
"CONC",1969,450,88.76,2,"2","2","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31664848608667,2,2,2,1,NA,1,NA,5,0.705,0.0206745448286291,"Modelled Flow Data Used & Depth Available",5
"CONC",1965,525,43.9,2.17,"2","2","2018","CCTV Footage Review Log South_Latest.xls","yes",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31594519443917,2,2,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0190851851732692,"Modelled Flow Data Used & Depth Available",5
"CONC",1971,470,143.81,2.33,"2","2","2004","te puna wai","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31588682407976,2,2,2,1,NA,1,NA,5,0.705,0.0189532747565288,"Modelled Flow Data Used & Depth Available",5
"CONC",1971,470,141.7,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.31588540041246,2,2,2,1,NA,1,NA,5,0.705,0.0189500574292912,"Modelled Flow Data Used & Depth Available",5
"CONC",1971,470,107.88,2.33,"2","2","2004","te puna wai","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31588540041246,2,2,2,1,NA,1,NA,5,0.705,0.0189500574292912,"Modelled Flow Data Used & Depth Available",5
"CONC",1962,525,91.5,2.99,"3","2","2010","te puna wai","no",5,3,3,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31552094158299,2,2,2,1,NA,1,NA,5,0.705,0.0181264216564731,"Modelled Flow Data Used & Depth Available",9
"CONC",1962,525,89.02,2.99,"3","2","2010","te puna wai","no",5,3,3,"CCTV Available (10-20 Years Old) & Soil Type Available",2.31549958657345,2,2,2,1,NA,1,NA,5,0.705,0.0180781617479095,"Modelled Flow Data Used & Depth Available",9
"CONC",1972,900,4.87,3,"3","3","2017","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.31379402756508,2,1,4,1,NA,1,NA,1.5,0.71,0.00382848392036753,"Modelled Flow Data Used & Depth Available",9
"PE",2012,450,2.46,1.97,"2","None","None","None","no",5,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.3075,2,1,2,1,NA,1,NA,5,0.705,0,"Modelled Flow Data Used & Depth Available",5
"PE",2014,400,86.3,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.3075,2,1,2,1,NA,1,NA,5,0.705,0,"Modelled Flow Data Used & Depth Available",5
"PE",2014,400,83.09,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.3075,2,1,2,1,NA,1,NA,5,0.705,0,"Modelled Flow Data Used & Depth Available",5
"CONC",1995,450,39.32,1.76,"2","None","None","CCTV app","yes",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30740898181245,2,1,2,1,NA,1,NA,5,0.705,0.000295994105856501,"Modelled Flow Data Used & Depth Available",5
"CONC",2012,525,96.61,2,"2","2","2016","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30714878851543,2,1,2,1,NA,1,NA,5,0.705,0.00114215116933758,"Modelled Flow Data Used & Depth Available",5
"CONC",2012,525,8.4,1.44,"1","1","2016","te puna wai","no",5,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.3071477991873,2,1,2,1,NA,1,NA,5,0.705,0.00114536849657516,"Modelled Flow Data Used & Depth Available",2
"CONC",2012,525,149.5,2,"2","2","2016","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.3071477991873,2,1,2,1,NA,1,NA,5,0.705,0.00114536849657516,"Modelled Flow Data Used & Depth Available",5
"CONC",2012,525,99.34,1.12,"1","1","2016","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.3071477991873,2,1,2,1,NA,1,NA,5,0.705,0.00114536849657516,"Modelled Flow Data Used & Depth Available",2
"CONC",2012,525,93.45,2,"2","2","2016","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30714483120293,2,1,2,1,NA,1,NA,5,0.705,0.00115502047828787,"Modelled Flow Data Used & Depth Available",5
"CONC",2012,525,140.99,2,"2","2","2016","te puna wai","no",5,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30712999128104,2,1,2,1,NA,1,NA,5,0.705,0.00120328038685143,"Modelled Flow Data Used & Depth Available",5
"VC",1913,450,9.62,2,"2","2","2018","CCTV Footage Review Log South_Latest.xls","yes",1,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30703204779661,2,1,2,1,NA,1,NA,5,0.705,0.00152179578337092,"Modelled Flow Data Used & Depth Available",5
"PE",2005,570,18.79,1,"1","1","2015","te puna wai","no",1,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30689057387466,2,1,2,1,NA,1,NA,5,0.705,0.00198187357834353,"Modelled Flow Data Used & Depth Available",2
"CONC",1959,570,88.82,3.1,"3","3","2015","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30687375529652,2,1,2,1,NA,1,"Significant Ecological Area - SEA_T_5308, Aquifer - Auckland Isthmus Volcanic Aquifer",5,0.705,0.00203656814138223,"Modelled Flow Data Used & Depth Available",9
"CONC",1959,570,53.74,3.1,"3","3","2015","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30687375529652,2,1,2,1,NA,1,"Significant Ecological Area - SEA_T_5308, Aquifer - Auckland Isthmus Volcanic Aquifer",5,0.705,0.00203656814138223,"Modelled Flow Data Used & Depth Available",9
"CONC",2007,450,37.95,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30661850864013,2,1,2,1,NA,1,NA,5,0.705,0.00286663856867546,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,450,64.77,1.69,"2","1","2008","te puna wai","yes",5,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30661751931201,2,1,2,1,NA,1,NA,5,0.705,0.00286985589591303,"Modelled Flow Data Used & Depth Available",5
"CONC",1972,800,2.81,2.27,"2","2","2017","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30655819295559,2,1,4,1,NA,1,NA,1.5,0.71,0.0267993874425727,"Modelled Flow Data Used & Depth Available",5
"PE",2012,450,68.81,1,"1","1","2014","te puna wai","no",1,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30622079873366,2,1,2,1,NA,1,NA,5,0.705,0.00416000411817886,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,450,93.85,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.3060634955617,2,1,2,1,NA,1,NA,5,0.705,0.0046715591489526,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,450,64.52,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.3060634955617,2,1,2,1,NA,1,NA,5,0.705,0.0046715591489526,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,450,70.87,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30606250623357,2,1,2,1,NA,1,NA,5,0.705,0.00467477647619017,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,450,67.1,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30606250623357,2,1,2,1,NA,1,NA,5,0.705,0.00467477647619017,"Modelled Flow Data Used & Depth Available",2
"CONC",2008,470,245.76,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30605360228044,2,1,2,1,NA,1,NA,5,0.705,0.00470373242132831,"Modelled Flow Data Used & Depth Available",5
"CLS",1997,390,5.56,2,"2","2","2014","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.306,2,1,5,1,NA,1,NA,1,0.755,0.2,"Diameter Used For Flow Approximation & Depth Available",5
"CONC",2007,525,86.48,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30599226393666,2,1,2,1,NA,1,NA,5,0.705,0.00490320671005769,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,525,84.81,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30599226393666,2,1,2,1,NA,1,NA,5,0.705,0.00490320671005769,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,525,76.91,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30599226393666,2,1,2,1,NA,1,NA,5,0.705,0.00490320671005769,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,525,67.37,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30599226393666,2,1,2,1,NA,1,NA,5,0.705,0.00490320671005769,"Modelled Flow Data Used & Depth Available",2
"CONC",2007,525,26.06,1.15,"1","1","2008","te puna wai","yes",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30599226393666,2,1,2,1,NA,1,NA,5,0.705,0.00490320671005769,"Modelled Flow Data Used & Depth Available",2
"CONC",1963,450,109.47,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.305931914921,2,1,2,1,NA,1,NA,5,0.705,0.0050994636715495,"Modelled Flow Data Used & Depth Available",5
"CONC",2005,450,16.38,2,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.305931914921,2,1,2,1,NA,1,NA,5,0.705,0.0050994636715495,"Modelled Flow Data Used & Depth Available",5
"CONC",1963,450,105.03,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30593092559287,2,1,2,1,NA,1,NA,5,0.705,0.00510268099878707,"Modelled Flow Data Used & Depth Available",5
"CONC",1963,450,18.73,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30590322440536,2,1,2,1,NA,1,NA,5,0.705,0.00519276616143905,"Modelled Flow Data Used & Depth Available",5
"PE",2011,560,157.88,1,"1","None","None","CCTV app","yes",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30585183767228,2,1,2,1,NA,1,NA,5,0.705,0.00535987748851455,"Modelled Flow Data Used & Depth Available",2
"CONC",1960,450,20.06,3.34,"3","3","2015","te puna wai","no",5,5,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30564402043646,2,1,2,1,NA,1,"Ocean Intercept, Significant Ecological Area - SEA-M2-2908DD - DD",5,0.705,0.00603570589768256,"Modelled Flow Data Used & Depth Available",9
"CONC",1963,450,123.4,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30550254651451,2,1,2,1,NA,1,NA,5,0.705,0.00649578369265516,"Modelled Flow Data Used & Depth Available",5
"CONC",1963,450,132.58,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30550155718638,2,1,2,1,NA,1,NA,5,0.705,0.00649900101989273,"Modelled Flow Data Used & Depth Available",5
"CONC",1963,450,107.01,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.305482759952,2,1,2,1,NA,1,NA,5,0.705,0.00656013023740658,"Modelled Flow Data Used & Depth Available",5
"CONC",1963,450,51.88,2.36,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30544714413948,2,1,2,1,NA,1,NA,5,0.705,0.00667595401795912,"Modelled Flow Data Used & Depth Available",5
"CONC",1998,450,117.52,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30538382713944,2,1,2,1,NA,1,NA,5,0.705,0.00688186296116364,"Modelled Flow Data Used & Depth Available",2
"CONC",1998,450,126.67,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30538283781132,2,1,2,1,NA,1,NA,5,0.705,0.00688508028840121,"Modelled Flow Data Used & Depth Available",2
"CONC",1998,450,77.44,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30538184848319,2,1,2,1,NA,1,NA,5,0.705,0.00688829761563878,"Modelled Flow Data Used & Depth Available",2
"CONC",2009,470,324.17,2,"2","2","2010","te puna wai","no",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30453498360772,2,1,2,1,NA,1,NA,5,0.705,0.00964232973099927,"Modelled Flow Data Used & Depth Available",5
"PVC-U",2011,500,339.29,1,"1","None","None","CCTV app","yes",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30443912710567,2,1,2,1,NA,1,NA,5,0.705,0.00995405819295559,"Modelled Flow Data Used & Depth Available",2
"CONC",1965,525,94.43,2.17,"2","2","2018","CCTV Footage Review Log South_Latest.xls","yes",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30434997924824,2,1,2,1,NA,1,"Place Of Historic Heritage - Waikaraka Grounds and cemetery,  including military cemetery, Aquifer - Onehunga Volcanic Aquifer",5,0.705,0.010243969924425,"Modelled Flow Data Used & Depth Available",5
"CLS",1993,550,13.35,2.33,"2","2","2011","te puna wai","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.30434305395136,2,1,2,1,NA,1,"Significant Ecological Area - SEA_T_4867",5,0.705,0.010266491215088,"Modelled Flow Data Used & Depth Available",5
"CONC",1992,525,9.56,3,"3","3","2001","te puna wai","no",5,1,1,"CCTV Available (20-30 Years Old) & Soil Type Available",2.30430150217009,2,1,2,1,NA,1,NA,5,0.705,0.0104016189590659,"Modelled Flow Data Used & Depth Available",9
"CONC",1965,525,98.26,3,"3","3","2018","CCTV Footage Review Log South_Latest.xls","yes",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30425995038881,2,1,2,1,NA,1,"Aquifer - Onehunga Volcanic Aquifer",5,0.705,0.0105367467030439,"Modelled Flow Data Used & Depth Available",9
"PE",2003,450,42.08,1.76,"2","None","None","CCTV app","yes",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30420367534456,2,1,2,1,NA,1,NA,5,0.705,0.0107197549770291,"Modelled Flow Data Used & Depth Available",5
"PE",2004,490,35.05,1,"1","None","None","CCTV app","yes",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.30420367534456,2,1,2,1,NA,1,NA,5,0.705,0.0107197549770291,"Modelled Flow Data Used & Depth Available",2
"CONC",1959,525,91.88,2.58,"3","2","2016","te puna wai","no",3,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.30417387884189,2,1,2,1,NA,1,"Aquifer - Mt Wellington Volcanic Aquifer",5,0.705,0.0108166541727126,"Modelled Flow Data Used & Depth Available",9
